127.0.0.1 - - [03/Oct/2025:20:25:06 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:07 +0530] "GET /IPlManagement/main.jsp HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:08 +0530] "GET /IPlManagement/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:10 +0530] "GET /IPlManagement/RCB-Win-IPL-upl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:10 +0530] "GET /IPlManagement/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:10 +0530] "GET /IPlManagement/96.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:10 +0530] "GET /IPlManagement/csk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:10 +0530] "GET /IPlManagement/che.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:10 +0530] "GET /IPlManagement/vai.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:10 +0530] "GET /IPlManagement/ipl.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:10 +0530] "GET /IPlManagement/sai.png HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:10 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:40 +0530] "GET /IPlManagement/adlogin.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:47 +0530] "POST /IPlManagement/adminloginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:53 +0530] "GET /IPlManagement/admindash.jsp HTTP/1.1" 200 6499
0:0:0:0:0:0:0:1 - - [03/Oct/2025:20:25:53 +0530] "GET /IPlManagement/images/csklogo.jpeg HTTP/1.1" 404 793
