127.0.0.1 - - [16/Oct/2025:15:59:18 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/main.jsp HTTP/1.1" 200 12366
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/vai.jpeg HTTP/1.1" 200 5235
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/csk.jpeg HTTP/1.1" 200 21016
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/RCB-Win-IPL-upl.jpg HTTP/1.1" 200 178128
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/1.jpg HTTP/1.1" 200 6166928
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/96.jpg HTTP/1.1" 200 1983592
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/2.jpg HTTP/1.1" 200 10734094
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/che.jpeg HTTP/1.1" 200 20526
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/ipl.jpeg HTTP/1.1" 200 12538
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:19 +0530] "GET /IPlManagement/sai.png HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:20 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:42 +0530] "GET /IPlManagement/teams.jsp HTTP/1.1" 200 8710
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:42 +0530] "GET /IPlManagement/images/rcb-logo.avif HTTP/1.1" 200 9308
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:42 +0530] "GET /IPlManagement/images/mi-logo.jpg HTTP/1.1" 200 14279
0:0:0:0:0:0:0:1 - - [16/Oct/2025:15:59:42 +0530] "GET /IPlManagement/images/csk-logo.jpg HTTP/1.1" 200 53406
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:00:06 +0530] "GET /IPlManagement/players.jsp HTTP/1.1" 200 8765
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:00:06 +0530] "GET /IPlManagement/images/dhoniPlay.jpg HTTP/1.1" 200 174077
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:00:06 +0530] "GET /IPlManagement/images/rohitplay.avif HTTP/1.1" 200 21827
0:0:0:0:0:0:0:1 - - [16/Oct/2025:16:00:06 +0530] "GET /IPlManagement/images/viratplay.avif HTTP/1.1" 200 21321
